{# TYPE, slot, tier, x, y, famebonus},
{#1', 0, -1, 0, 0, 0},
{#5E2D, 10, -1, 40, 0, 0},
{#1000, 10, -1, 80, 0, 0},
{#1100, 10, -1, 120, 0, 0},
{#1001, 10, -1, 160, 0, 0},
{#1101, 10, -1, 200, 0, 0},
{#1002, 10, -1, 240, 0, 0},
{#1102, 10, -1, 280, 0, 0},
{#1003, 10, -1, 320, 0, 0},
{#1103, 10, -1, 360, 0, 0},
{#1004, 10, -1, 400, 0, 0},
{#1104, 10, -1, 440, 0, 0},
{#1005, 10, -1, 480, 0, 0},
{#1105, 10, -1, 520, 0, 0},
{#1006, 10, -1, 560, 0, 0},
{#1106, 10, -1, 600, 0, 0},
{#1007, 10, -1, 640, 0, 0},
{#1107, 10, -1, 680, 0, 0},
{#1008, 10, -1, 720, 0, 0},
{#1108, 10, -1, 760, 0, 0},
{#1009, 10, -1, 800, 0, 0},
{#1109, 10, -1, 840, 0, 0},
{#100A, 10, -1, 880, 0, 0},
{#110A, 10, -1, 920, 0, 0},
{#100B, 10, -1, 960, 0, 0},
{#110B, 10, -1, 0, 40, 0},
{#100C, 10, -1, 40, 40, 0},
{#110C, 10, -1, 80, 40, 0},
{#100D, 10, -1, 120, 40, 0},
{#110D, 10, -1, 160, 40, 0},
{#100E, 10, -1, 200, 40, 0},
{#110E, 10, -1, 240, 40, 0},
{#100F, 10, -1, 280, 40, 0},
{#110F, 10, -1, 320, 40, 0},
{#1010, 10, -1, 360, 40, 0},
{#1110, 10, -1, 400, 40, 0},
{#1011, 10, -1, 440, 40, 0},
{#1111, 10, -1, 480, 40, 0},
{#1012, 10, -1, 520, 40, 0},
{#1112, 10, -1, 560, 40, 0},
{#1013, 10, -1, 600, 40, 0},
{#1113, 10, -1, 640, 40, 0},
{#1014, 10, -1, 680, 40, 0},
{#1114, 10, -1, 720, 40, 0},
{#1015, 10, -1, 760, 40, 0},
{#1115, 10, -1, 800, 40, 0},
{#1016, 10, -1, 840, 40, 0},
{#1116, 10, -1, 880, 40, 0},
{#1017, 10, -1, 920, 40, 0},
{#1117, 10, -1, 960, 40, 0},
{#1018, 10, -1, 0, 80, 0},
{#1118, 10, -1, 40, 80, 0},
{#1019, 10, -1, 80, 80, 0},
{#1119, 10, -1, 120, 80, 0},
{#101A, 10, -1, 160, 80, 0},
{#111A, 10, -1, 200, 80, 0},
{#101B, 10, -1, 240, 80, 0},
